"gauge_name","HYPE_mean","HYPE_lower_quartile","HYPE_upper_quartile","PRMS_mean","PRMS_lower_quartile","PRMS_upper_quartile","Obs_mean","Obs_lower_quartile","Obs_upper_quartile","RAVEN_mean","RAVEN_lower_quartile","RAVEN_upper_quartile"
"SWCSB",2.26886761153165,0.03,1.658,2.3700540692227,0.0816538147776,2.7147767317416,5.57478097315174,1.25093970215206,6.7585708168404,2.72697027468836,0.132286,4.613435
"SMRBB",15.323101626671,1.05,15.78325,17.4876134548884,1.445389855056,22.6913121908928,20.5243261465159,4.3464070936144,25.0742226258646,18.2174470926639,1.29927,23.125525
"SMRIB",21.1202682396521,2.112,24.63925,21.7281581864057,2.7097954172656,28.0153125949032,24.4458398963815,5.65449361065312,29.5844570246112,24.2490220160251,1.8738225,31.80405
"MRWIB",1.77613512642938,0.206,1.3315,2.07000131333911,0.3410331471864,2.085935728212,2.54271764627888,0.369848606600736,2.88532034292336,1.67796482909554,0.0035318375,1.322535
"NFKMR",0.259889273635045,0.003,0.15,0.486449782999461,0.200650862624,0.5122220571808,0.647733633910592,0.331309141642656,0.719252324461056,0.213656985749391,2.2325e-07,0.04729315
"MREIB",3.07162667096151,0.31,2.5675,5.76998523235482,0.9032169415352,5.1342117313616,5.51269488151557,1.0392346577553,5.5473043455952,3.53594131176461,0.111966,3.1643675
"CLCMO",0.111874859075538,0,0.012,0.679840939502331,0.083400515348,0.4940102063696,0.659101154925674,0.0121763188895968,0.705801739547312,0.435597615295256,0.00212237,0.31112375
"LDCIB",0.852119423417614,0,0.33,2.27453248428675,0.0225999070896,0.6526130703968,0.972203872660806,0,0.219572796789166,0.567450476704107,0.0016311275,0.24435125
"BTCIB",0.997194475761005,0.002,0.58,3.32221535373386,0.1262257039168,1.0391696857072,1.25310151390471,0.111413017139464,1.12899172603116,1.04471766875431,0.0010461525,0.51950975
"PPCMO",1.14344886455146,0.04,0.77075,1.68304372258168,0.1148363259176,0.7053470718392,0.863024098553998,0.0008495106261312,0.51367075457968,0.924686956494443,0.00970191,0.42736975
"BCBMO",1.49079263971655,0.033,0.764,1.68309660162894,0.177305183052,0.9813808664552,1.96154124881679,0,0.555013604541696,1.17943842474779,0.014812075,0.420941
"RKCMO",1.13616500241584,0,0.188,1.36604567110827,0.0262771621336,0.6188073418848,0.429303158177392,0.00481389351976,0.147248507340102,0.482961680098566,0.0013905525,0.088280075
