"gauge_name","HYPE_mean_mean","HYPE_mean_lower_quartile","HYPE_mean_upper_quartile","PRMS_mean_mean","PRMS_mean_lower_quartile","PRMS_mean_upper_quartile","Obs_mean_mean","Obs_mean_lower_quartile","Obs_mean_upper_quartile","RAVEN_mean_mean","RAVEN_mean_lower_quartile","RAVEN_mean_upper_quartile"
"SWCSB",2.2676749564051,0.0480714285714286,1.73757142857143,2.36891448781114,0.0851923427844571,2.85707441926697,5.57254726703259,1.28510519246287,6.9186722290827,2.72574807819665,0.148656835714286,4.60757928571429
"SMRBB",15.3151260228035,1.4705,15.7473571428571,17.4792977208204,1.45898573980137,22.6756029505488,20.5162082477027,4.39038996985111,25.6946525654941,18.2094080396137,1.44120828571429,23.2990071428571
"SMRIB",21.1092658484239,2.96071428571429,24.1125714285714,21.7178374896032,2.74913262837211,27.5171799893483,24.4364436801995,5.70678783095392,29.8149465475593,24.2384666925151,2.12942578571429,31.7872714285714
"MRWIB",1.77515227364185,0.238,1.62657142857143,2.06903089838322,0.372679601374629,2.12783152502011,2.50645525199989,0.399269991085911,2.92919352109045,1.67706532182315,0.00524014107142857,1.374375
"NFKMR",0.259742857142857,0.016,0.230142857142857,0.486272906162398,0.213598373554514,0.545201074694171,0.644570114409105,0.335152165752029,0.72036477873106,0.21354132347707,2.66571428571429e-07,0.0503189357142857
"MREIB",3.06992501676727,0.345285714285714,2.7255,5.76718790589886,1.02376946457897,5.54023977729029,5.48135656480215,1.07908075100502,5.70992494849902,3.53437725796322,0.15068865,3.28871928571429
"CLCMO",0.111811830985916,0,0.0272857142857143,0.679584045152488,0.0865316647229714,0.515891396667886,0.645469932210583,0.0144517937496689,0.706327627091933,0.435370636220509,0.00225784585714286,0.314400228571429
"LDCIB",0.851639356136819,0.000714285714285714,0.419642857142857,2.27330701636107,0.0247724205286857,0.754317962711314,0.950358227269101,0,0.252983406680668,0.567234090285307,0.00232103428571429,0.2899831
"BTCIB",0.996632689470154,0.00378571428571429,0.687714285714286,3.32045379768665,0.131084055722743,1.19384587121417,1.23174239116418,0.125645197021001,1.17530590559131,1.04426411009854,0.00120550857142857,0.613836714285714
"PPCMO",1.14282434607646,0.055,0.9855,1.68221775107113,0.122552161407543,0.7715975597424,0.862439942045394,0.00218445588059623,0.561789463149741,0.924254669866371,0.0138712328571429,0.5087095
"BCBMO",1.48996930918846,0.0435714285714286,0.896285714285714,1.68230570323274,0.187955061751314,0.996678602005029,1.9378442576765,0.000809057731082057,0.608815943860916,1.17906493655946,0.020867865,0.444949
"RKCMO",1.13552509725017,0.000428571428571429,0.264642857142857,1.36536936069136,0.0305208280148571,0.664319077751771,0.429089466126527,0.00544091325143771,0.153983912986352,0.482878136773762,0.001684289,0.0885045285714286
